ID_TEAM,EQUIPO,J,G,E,P,GF,GC,DIF,PTS,LIGA,FEC_BOOK
ffd4f45a,Estoril,0,0,0,0,0,0,0,0,PORTUGAL,2024-07-25
ffd4f456,FC Porto,0,0,0,0,0,0,0,0,PORTUGAL,2024-07-25
ffd4f463,FC Famalicao,0,0,0,0,0,0,0,0,PORTUGAL,2024-07-25
ffd4f45d,CGil Vicente,0,0,0,0,0,0,0,0,PORTUGAL,2024-07-25
ffd4f460,Rio Ave,0,0,0,0,0,0,0,0,PORTUGAL,2024-07-25
ffd4f461,Santa Clara,0,0,0,0,0,0,0,0,PORTUGAL,2024-07-25
ffd4f455,GBraga,0,0,0,0,0,0,0,0,PORTUGAL,2024-07-25
ffd4f45b,Sporting CP,0,0,0,0,0,0,0,0,PORTUGAL,2024-07-25
ffd4f45c,Guimaraes,0,0,0,0,0,0,0,0,PORTUGAL,2024-07-25
ffd4f468,Z Alkmaar,0,0,0,0,0,0,0,0,HOLANDA,2024-07-25
ffd4f467,XAjax Amsterdam,0,0,0,0,0,0,0,0,HOLANDA,2024-07-25
ffd4f471,FC Groningen,0,0,0,0,0,0,0,0,HOLANDA,2024-07-25
ffd4f46a,FC Twente,0,0,0,0,0,0,0,0,HOLANDA,2024-07-25
ffd4f46e,FC Utrecht,0,0,0,0,0,0,0,0,HOLANDA,2024-07-25
ffd4f469,Feyenoord Rotterdam,0,0,0,0,0,0,0,0,HOLANDA,2024-07-25
ffd4f475,tunaFortuna Sittard,0,0,0,0,0,0,0,0,HOLANDA,2024-07-25
ffd4f472,AheadGo Ahead Eagles,0,0,0,0,0,0,0,0,HOLANDA,2024-07-25
ffd4f470,NEC Nijmegen,0,0,0,0,0,0,0,0,HOLANDA,2024-07-25
ffd4f466,PSV Eindhoven,0,0,0,0,0,0,0,0,HOLANDA,2024-07-25
ffd4f46d,RKC Waalwijk,0,0,0,0,0,0,0,0,HOLANDA,2024-07-25
ffd4f46c,RotterdamSparta Rotterdam,0,0,0,0,0,0,0,0,HOLANDA,2024-07-25
ffd4f46b,Heerenveen,0,0,0,0,0,0,0,0,HOLANDA,2024-07-25
